0000000001_0300000050_General/0000000001.wav|Having complete focus on a recipe, and not allowing yourself to be distracted by your thoughts, can have a therapeutic effect.
0000000001_0300000050_General/0000000002.wav|Baking is very good for focusing the mind because it often relies on very exact measurements.
0000000001_0300000050_General/0000000003.wav|But we can eat in the summer on the balcony and in the winter in the living room.
0000000001_0300000050_General/0000000004.wav|I got the habit of visiting the church cemetery from my father, and of reading the newspaper, too.
0000000001_0300000050_General/0000000005.wav|The monkey climbed up the tree and looked down at the river and the lake everyday.
0000000001_0300000050_General/0000000006.wav|And after that, the monkey climbed down from the tree and went to the riverside.
0000000001_0300000050_General/0000000007.wav|You say that you are rich and then you say that you do not want to draw the attention to yourself.
0000000001_0300000050_General/0000000008.wav|This blueberry coffee cake is my go-to recipe for all of our holiday get-togethers, because it's perfect for breakfast or dessert.
0000000001_0300000050_General/0000000009.wav|While the oil heats, dredge the chops in the flour, batting off any extra, then in the egg, then in the bread crumbs.
0000000001_0300000050_General/0000000010.wav|I'm telling you, the charming, graceful sick person is just a myth, an urban legend.
0000000001_0300000050_General/0000000011.wav|This was matched by a dive downward by bassoons, bass clarinet, trombones and bass tuba.
0000000001_0300000050_General/0000000012.wav|They helped finish off his birthday cake, while his other family enjoyed a cake too.
0000000001_0300000050_General/0000000013.wav|The development is set to transform an old industrial site into an interconnected smart city.
0000000001_0300000050_General/0000000014.wav|Reasonably priced salads, crepes, fresh fish and a large selection of ice cream are served.
0000000001_0300000050_General/0000000015.wav|The two reservoirs fed by the Colorado River watershed, provide a critical supply of drinking water and irrigation for many across the region, including rural farms, ranches and native communities.
0000000001_0300000050_General/0000000016.wav|Okay, but I want the furniture in the living room to be yellow and dark blue.
0000000001_0300000050_General/0000000017.wav|A teacher decided to honor each of her students in high school by telling them the difference they each made.
0000000001_0300000050_General/0000000018.wav|First, she told each of them how they had made a difference to her and the class.
0000000001_0300000050_General/0000000019.wav|He would rather to sit and read the paper and drink a cup of coffee.
0000000001_0300000050_General/0000000020.wav|Afterwards, the teacher decided to do a class project to see what kind of impact the recognition would have on a community.
0000000001_0300000050_General/0000000021.wav|He was just a guy who saw a dirty girl on the street who needed to eat.
0000000001_0300000050_General/0000000022.wav|Last Thursday, wildlife care specialists noticed the snow leopard had a cough and nasal discharge, the zoo said in new release.
0000000001_0300000050_General/0000000023.wav|I decided on my light jacket, pulled it on, and leashed up my bigger dog, Fluffy, to walk first.
0000000001_0300000050_General/0000000024.wav|The snow leopard appears to be doing well and is showing no addition symptoms, the zoo said.
0000000001_0300000050_General/0000000025.wav|She wishes she can run into the "business man" who bought her lunches, and say something.
0000000001_0300000050_General/0000000026.wav|You only think about the earth, but you should also consider the sky and the sea.
0000000001_0300000050_General/0000000027.wav|It is the water that is the basis of life and drawn up by the clouds from the deep sea.
0000000001_0300000050_General/0000000028.wav|Every week my father would call the boy and get a "generic" answering-machine message.
0000000001_0300000050_General/0000000029.wav|It is so nice that every time you look at a sunflower, the whole world starts to smile.
0000000001_0300000050_General/0000000030.wav|I may be scarce, but I am precious for I serve the needs of human life.
0000000001_0300000050_General/0000000031.wav|Red is the color of passion and of love, the red rose, the poinsettia and the poppy.
0000000001_0300000050_General/0000000032.wav|When they had all gone and come back, he called them together to describe what they had seen.
0000000001_0300000050_General/0000000033.wav|People love it, as it was laden with blossoms that smelled so sweet and looked so beautiful.
0000000001_0300000050_General/0000000034.wav|I truly witnessed a love that brought me to tears when I got home from work last night.
0000000001_0300000050_General/0000000035.wav|Only by forgetting can you walk towards the kind of life that you want with lighter steps.
0000000001_0300000050_General/0000000036.wav|At one point, the elderly couple signaled to me that they were ready to order the meal.
0000000001_0300000050_General/0000000037.wav|When I was younger, I always knew my parents were working hard for the family.
0000000001_0300000050_General/0000000038.wav|As I told him my name was Angela, my mom handed me the soup ladle and hair net to start getting to work.
0000000001_0300000050_General/0000000039.wav|A familiar man called me back saying he thought I left something in our mailbox.
0000000001_0300000050_General/0000000040.wav|I reached in and pulled out a huge manila envelope that was bulky, but I couldn't tell what was in it.
0000000001_0300000050_General/0000000041.wav|She opened the first red box, then she found our first super expensive rent bill.
0000000001_0300000050_General/0000000042.wav|As well as dwellings, the proposal would also introduce comprehensive planting to strengthen all boundaries, and ensure the next generation of mature trees and hedgerows, will flourish on the site.
0000000001_0300000050_General/0000000043.wav|I had a feeling I knew who had sent it, but didn't want to tell my mom.
0000000001_0300000050_General/0000000044.wav|It was still dark outside so I felt my way to the wall switch and turned on the light.
0000000001_0300000050_General/0000000045.wav|I got dressed quickly because I knew both of my dogs would be eager to get outside for their morning walk.
0000000001_0300000050_General/0000000046.wav|Oh, it had been cold and snowy two days ago, and warm and rainy yesterday.
0000000001_0300000050_General/0000000047.wav|I had forgotten to check the weather report for today, however, so I wasn't sure if I needed my light jacket or my heavy coat.
0000000001_0300000050_General/0000000048.wav|I can still remember gazing endlessly at the photographs of granite peaks, roaring waterfalls and magnificent wildlife, and daydreaming about wandering in those landscapes.
0000000001_0300000050_General/0000000049.wav|A single serving of whole grains is one slice of whole-grain bread, or a half cup of oats, or a half cup of brown rice.
0000000001_0300000050_General/0000000050.wav|Eating the whole grain, as our ancestors used to do, provides a host of benefits to the body that are lost when the grain is processed.
0000000001_0300000050_General/0000000051.wav|While my dog sniffed the ground, I opened my heart to the wonder of Nature's creation.
0000000001_0300000050_General/0000000052.wav|In all of its sweet seasons here, it had never failed to touch my soul.
0000000001_0300000050_General/0000000053.wav|The flour in white breads, bagels, pastries and pasta has lost the grain's fiber-rich outer layer during the refining process.
0000000001_0300000050_General/0000000054.wav|It had heated my heart on the coldest days and lighted my spirit on the darkest nights.
0000000001_0300000050_General/0000000055.wav|Then I thanked Nature for the love that created the moon, the stars, and me.
0000000001_0300000050_General/0000000056.wav|I don't often eat lunch at work, and tend to just work through the day and eat dinner when I get home.
0000000001_0300000050_General/0000000057.wav|I was having a bad day, it was around four PM and I was struggling to make things happen.
0000000001_0300000050_General/0000000058.wav|Gave my twenty-eight-year-old self a snack and a juice box and it was the most caring thing I've ever had a boss do.
0000000001_0300000050_General/0000000059.wav|One day my little dog Milo escaped the fenced yard of a friend in Vancouver and ran off.
0000000001_0300000050_General/0000000060.wav|Yellowstone National Park also serves as a time capsule, a sort of 'land that time forgot' in terms of wildlife.
0000000001_0300000050_General/0000000061.wav|Small incremental changes in your diet to increase whole-grain intake will make a difference over time.
0000000001_0300000050_General/0000000062.wav|They waited for me in a grocery store parking lot until I came to pick him up.
0000000001_0300000050_General/0000000063.wav|As we know, men often discover their affinity to each other by the mutual love.
0000000001_0300000050_General/0000000064.wav|They have for a book, just as two persons sometimes discover a friend, by the admiration which both entertain for a third.
0000000001_0300000050_General/0000000065.wav|Here is another reason to get serious about saving - it is a new year.
0000000001_0300000050_General/0000000066.wav|In addition to enjoying them raw and cooked in desserts, fresh peaches can be roasted, pickled, and even frozen for a burst of summer sunshine in the middle of winter.
0000000001_0300000050_General/0000000067.wav|Although the occasion isn't going to turn us into smart savers, it sure is a good reminder.
0000000001_0300000050_General/0000000068.wav|We all have our own methods of dealing with money, but here are a couple of saving tricks that will grow your money.
0000000001_0300000050_General/0000000069.wav|Here's how you can maximize your peach perfection with recipe ideas for breakfast, lunch, dinner - and dessert, of course.
0000000001_0300000050_General/0000000070.wav|Time is of no account with great thoughts, which are as fresh today as when they first passed through their author's mind, ages ago.
0000000001_0300000050_General/0000000071.wav|Overnight oats are a trend that's not going away anytime soon, and summer is the ideal time to embrace this chilled-out breakfast dish.
0000000001_0300000050_General/0000000072.wav|Books introduce us into the best society, they bring us into the presence of the greatest minds that have ever lived.
0000000001_0300000050_General/0000000073.wav|You can experiment with these grains by incorporating them in small amounts into your morning bowl of oatmeal.
0000000001_0300000050_General/0000000074.wav|The Park has been a global leader in establishing the range of possibilities and approaches to caring for wild animals and landscapes.
0000000001_0300000050_General/0000000075.wav|Add fresh sliced peaches to a mason jar with oats, milk and spices, and you've got a sweet peach cobbler-inspired treat waiting for you in the morning.
0000000001_0300000050_General/0000000076.wav|Fire up the grill, and give your peaches a little heat, to turn them into a sweetly charred accompaniment for a number of dishes.
0000000001_0300000050_General/0000000077.wav|It's hard to deny that tomatoes are the ideal summer food - and that's saying a lot in a season where so much produce is at its peak.
0000000001_0300000050_General/0000000078.wav|The place is quite remote and is perfect for a relaxed swim before going for your meal.
0000000001_0300000050_General/0000000079.wav|To grill peaches, preheat a gas or charcoal grill to medium heat, halve and pit the peaches, then brush the cut halves with olive oil or vegetable oil.
0000000001_0300000050_General/0000000080.wav|Their experience becomes ours, and we feel as if we were, in a measure, actors with them in the scenes which they describe.
0000000001_0300000050_General/0000000081.wav|The paste adds umami, while coriander powder gives it an earthy lift, which balances the heaviness of the pork belly.
0000000001_0300000050_General/0000000082.wav|It's a place where you see Earth for what it has come to be over the course of millions of years, not for the things we've done to it.
0000000001_0300000050_General/0000000083.wav|They kept on walking until they found an oasis, where they decided to take a bath.
0000000001_0300000050_General/0000000084.wav|Grilled peaches become the star of the show in a big salad, like this quinoa, peach and summer vegetable salad that works as a main course.
0000000001_0300000050_General/0000000085.wav|One way to increase your chances of getting a lower rate, is to come prepared with information on other card offers that you have seen available, he said.
0000000001_0300000050_General/0000000086.wav|Consuming fresh tomatoes with a source of fat, such as olive oil, is a great way to boost lycopene absorption, she said.
0000000001_0300000050_General/0000000087.wav|But even this description is an understatement - the otherworldly nature of the area simply evokes awe.
0000000001_0300000050_General/0000000088.wav|When it comes down to it, almost anything can be a salad or a sandwich - the potential combinations are endless.
0000000001_0300000050_General/0000000089.wav|And if you want to pile on more ingredients, you'll find ways to make a tomato sandwich every day of the week.
0000000001_0300000050_General/0000000090.wav|I once saw nine different grizzly bears in one day and had almost forty bighorn sheep wander with me one day as I ate my lunch.
0000000001_0300000050_General/0000000091.wav|Or simply drizzle them with balsamic vinegar and quality olive oil along with a sprinkling of flaky sea salt and serve as a fruit salad.
0000000001_0300000050_General/0000000092.wav|What was then said and thought still speaks to us as vividly as ever from the printed page.
0000000001_0300000050_General/0000000093.wav|The only effect of time has been to sift out the bad products, for nothing in literature can long survive but what is really good.
0000000001_0300000050_General/0000000094.wav|There is no sandy beach but if you like rocks and deep waters it is the perfect place.
0000000001_0300000050_General/0000000095.wav|Turn it into the base for a Cobb salad with as many tomatoes and leftover fridge elements as you can handle.
0000000001_0300000050_General/0000000096.wav|It's worth while mentioning that just a few hundred meters away there is an access to the sea.
0000000001_0300000050_General/0000000097.wav|Try this recipe as a start, and pick and choose add-ins like roasted red peppers and marinated chickpeas to suit your tastes.
0000000001_0300000050_General/0000000098.wav|We also recommend the grilled choices where you get a variety of fresh meat and fish dishes.
0000000001_0300000050_General/0000000099.wav|Instead, stir up a no-cook tomato sauce that practically explodes with the juiciness of fresh tomatoes.
0000000001_0300000050_General/0000000100.wav|The dish is topped with crushed red and green chili, and you can heap it over rice, or scoop it all up with a buttered baguette.
0000000001_0300000050_General/0000000101.wav|As a restaurant owner I knew this thing was gold the moment I saw it.
0000000001_0300000050_General/0000000102.wav|The chef is the mother of the family, and the majority of the ingredients used for the dishes are produced by the same family.
0000000001_0300000050_General/0000000103.wav|But it is very important to understand the fees, what the rate will be after the low-rate period ends and if there are any deadlines with balance transfer cards.
0000000001_0300000050_General/0000000104.wav|And that means going beyond benefits like vacation days and retirement plans, and considering things like the company's culture, manager expectations, job satisfaction and development, and work-life balance.
0000000001_0300000050_General/0000000105.wav|If being able to work from home is important to you, it's good to get a sense of a company's flexibility before getting too far along in the interview process.
0000000001_0300000050_General/0000000106.wav|Lee says he steams his rolls the day before, and leaves them in the fridge to rest, so that they are crispier and browner when he fries them.
0000000001_0300000050_General/0000000107.wav|It is perfect for families since the kids can safely run around and play in the garden.
0000000001_0300000050_General/0000000108.wav|If you can't stand the heat, get out of the kitchen and fire up the grill.
0000000001_0300000050_General/0000000109.wav|You won't have to spend much time over the flame, but if you want a hot meal on a hot day, grilled dishes with tomatoes fit the bill.
0000000001_0300000050_General/0000000110.wav|Foil packet meals are quite possibly the easiest way to grill with very little mess and clean-up.
0000000001_0300000050_General/0000000111.wav|Place salmon fillets on a piece of heavy-duty foil drizzled with olive oil and load them up with halved cherry tomatoes and herbs like rosemary, dill or cilantro.
0000000001_0300000050_General/0000000112.wav|This method is infinitely versatile - so if you're craving other seafood, like shrimp or scallops, or more summer vegetables, you can customize it to each family member's tastes.
0000000001_0300000050_General/0000000113.wav|Surrounded by olive groves and a beautiful garden it is the perfect place to relax and enjoy a beautiful dinner or lunch.
0000000001_0300000050_General/0000000114.wav|If chips and salsa are all you have an appetite for, make homemade salsa by charring whole tomatoes, peppers and onions on the grill.
0000000001_0300000050_General/0000000115.wav|Any device that saves us time on any task is worth its weight in gold.
0000000001_0300000050_General/0000000116.wav|A few minutes are enough to blister their skins and boost the flavor of the blend.
0000000001_0300000050_General/0000000117.wav|Each school, depending on the area in which it is located offers the possibility to navigate through the nature paths.
0000000001_0300000050_General/0000000118.wav|For children wanting to ride, depending on their age the schools can provide a suitable horse.
0000000001_0300000050_General/0000000119.wav|Tomato water is nothing more than the slowly - very slowly - strained liquid from a tomato, and it's a low-maintenance way to make stellar drinks.
0000000001_0300000050_General/0000000120.wav|Line a metal strainer with a flour sack towel or cheesecloth, then place it over a deep bowl.
0000000001_0300000050_General/0000000121.wav|Treks usually consist of groups of no more than six people and are accompanied by an experienced instructor.
0000000001_0300000050_General/0000000122.wav|You need to have a lot of trust in a device to turn your back to it, while it mixes your batter all on its own.
0000000001_0300000050_General/0000000123.wav|Nevertheless, its main attraction, the National Marine Park, is the most important Loggerhead Sea Turtle nesting area in the Mediterranean.
0000000001_0300000050_General/0000000124.wav|The route goes through the Peripheral Zone and Protected Landscape areas of the Park, as well as a forest of medieval olive groves at K Beach.
0000000001_0300000050_General/0000000125.wav|Regardless of your familiarity with the sport you can combine your holiday with a spot of  horse-riding.
0000000001_0300000050_General/0000000126.wav|You can either go on a simple stroll with a horse, or if you would like to spend more time horse-riding, you can take lessons.
0000000001_0300000050_General/0000000127.wav|For beginners you begin by learning some theory first, this includes safety, codes of communication and getting to know the horse.
0000000001_0300000050_General/0000000128.wav|This is then continued with the practical part of getting on the horse and then moving.
0000000001_0300000050_General/0000000129.wav|Most schools provide free equipment and transportation to and from their place of residence along with insurance.
0000000001_0300000050_General/0000000130.wav|Even the choosiest of palettes, not forgetting the specialties of local chicken and rabbit stew.
0000000001_0300000050_General/0000000131.wav|The wine cellar consists of a range of nice local wines and many fine labels.
0000000001_0300000050_General/0000000132.wav|Good food is well accompanied by a range of desserts that are sure to impress.
0000000001_0300000050_General/0000000133.wav|Spinach joins these, with the greatest benefits derived from these vegetables in their raw or lightly cooked form.
0000000001_0300000050_General/0000000134.wav|They invite you to try them with rich sauces and fresh vegetables, and main dishes that will delight.
0000000001_0300000050_General/0000000135.wav|Even with all its potential, Popeye's favorite food does have a few downsides, especially raw spinach, can lend some people a, well, gassy air.
0000000001_0300000050_General/0000000136.wav|It is based on the good quality of the materials and the genuine traditional recipes.
